Name,StopId,StreetNumber,StreetName,SuburbId,StateId,CountryId,PostCode,EntranceType,Latitude,Longitude,ExitNumber
Elizabeth,607,149,Liverpool Street,11805,5,2,2000,Lift,-33.876591,151.209734,NULL
Macquarie,525,65,Martin Place,11805,5,2,2000,Stairs,-33.867962,151.211624,1
Elizabeth,530,48,Martin Place,11805,5,2,2000,Stairs,-33.867730,151.210204,7
Napoleon,998,15A,Napoleon Street,11805,5,2,2000,Path,-33.865246,151.203970,NULL
Phillip,526,158,Phillip Street,11805,5,2,2000,Lift,-33.867725,151.211419,4
Darling,294,270,Pyrmont Street,11805,5,2,2000,Ramp,-33.876778,151.199475,NULL
James,797,2,Saint James Road,11805,5,2,2000,Ramp,-33.870033,151.211289,NULL
James,796,2,Saint James Road,11805,5,2,2000,Stairs,-33.869927,151.211498,NULL
Kent,878,NULL,Unnamed Road,11805,5,2,2000,Path,-33.873462,151.205675,5
Dawn Fraser,658,NULL,NULL,NULL,5,2,2127,Path,-33.846869,151.069215,NULL
Dawn Fraser,655,NULL,NULL,NULL,5,2,2127,Path,-33.846785,151.069456,NULL
Murray Rose,652,NULL,NULL,NULL,5,2,2127,Stairs,-33.846173,151.069828,NULL
Dawn Fraser,651,8,Dawn Fraser Avenue,NULL,5,2,2127,Path,-33.846566,151.070046,NULL
Dawn Fraser,649,8,Dawn Fraser Avenue,NULL,5,2,2127,Path,-33.846478,151.070287,NULL
Dawn Fraser,653,10,Dawn Fraser Avenue,NULL,5,2,2127,Stairs,-33.846706,151.069556,NULL
Murray Rose,657,"East, 11",Murray Rose Avenue,NULL,5,2,2127,Lift,-33.846394,151.069248,NULL
Murray Rose,650,7,Murray Rose Avenue,NULL,5,2,2127,Path,-33.846086,151.070081,NULL
Murray Rose,654,11,Murray Rose Avenue,NULL,5,2,2127,Ramp,-33.846343,151.069495,NULL
Murray Rose,659,"East, 11",Murray Rose Avenue,NULL,5,2,2127,Stairs,-33.846479,151.069006,NULL
Murray Rose,656,11,Murray Rose Avenue,NULL,5,2,2127,Stairs,-33.846393,151.069391,NULL
Park,648,1,Park Street,NULL,5,2,2127,Path,-33.846111,151.070683,NULL
Showground,660,1,Showground Road,NULL,5,2,2127,Path,-33.846984,151.068271,NULL
George,831,44A,George Street,11838,5,2,2573,Path,-34.223587,150.590241,NULL
Pitt,832,41,Pitt Street,11838,5,2,2573,Path,-34.223465,150.589830,NULL
Railway,833,4,Weir Road,11872,5,2,2579,Path,-34.718375,150.086092,NULL
Woodberry,835,9,Woodberry Road,11999,5,2,2322,Stairs,-32.808895,151.669372,NULL
Woodberry,834,9,Woodberry Road,11999,5,2,2322,Stairs,-32.808820,151.669463,NULL
Brisbane Water,836,NULL,Brisbane Water Drive,12004,5,2,2250,Ramp,-33.450839,151.318815,NULL
Brisbane Water,837,NULL,Brisbane Water Drive,12004,5,2,2250,Stairs,-33.450882,151.318787,NULL
Glenrock,838,8,Kateena Avenue,12004,5,2,2250,Ramp,-33.450773,151.318740,NULL
Glenrock,839,4,Kateena Avenue,12004,5,2,2250,Stairs,-33.450949,151.318344,NULL
Sturt,846,NULL,NULL,12046,5,2,2117,Path,-33.794006,151.041781,NULL
Sturt,847,NULL,NULL,12046,5,2,2117,Ramp,-33.794249,151.041524,NULL
Adderton,849,55A,Adderton Road,12046,5,2,2117,Ramp,-33.794021,151.041263,NULL
Adderton,850,55A,Adderton Road,12046,5,2,2117,Stairs,-33.794115,151.041195,NULL
Sturt,848,33,Sturt Street,12046,5,2,2117,Path,-33.794570,151.041383,NULL
Griffith,852,24,Griffiths Street,12052,5,2,2044,Stairs,-33.923947,151.156750,NULL
Griffith,851,14,Griffiths Street,12052,5,2,2044,Stairs,-33.923691,151.156798,NULL
William,856,NULL,NULL,12070,5,2,2284,Path,-32.962727,151.603926,NULL
Railway,857,127,Railway Street,12070,5,2,2284,Stairs,-32.962162,151.603641,NULL
William,855,NULL,William Street,12070,5,2,2284,Ramp,-32.962768,151.604150,NULL
Station,859,NULL,NULL,12196,5,2,2515,Stairs,-34.317860,150.919375,NULL
