SchoolCode,SchoolName,StreetNumber,StreetName,SuburbId,StateId,CountryId,LevelOfSchooling,Latitude,Longitude,SchoolSpecialtyType,SchoolSubType,SchoolGender,ICSEAValue
8173,Wauchope High School,6,Nelson Street,13218,5,2,Secondary School,-31.450894,152.731158,Comprehensive,Year 7 to Year 12,Coed,924
3404,Wauchope Public School,2,Waugh Street,13218,5,2,Primary School,-31.455935,152.729534,Comprehensive,Kinder to Year 6,Coed,928
3953,Waverley Public School,153,Bronte Road,13228,5,2,Primary School,-33.898174,151.251539,Comprehensive,Kinder to Year 6,Coed,1105
3412,Wee Jasper Public School,6443,Wee Jasper Road,13252,5,2,Primary School,-35.108785,148.673792,Comprehensive,Kinder to Year 6,Coed,917
8270,Wee Waa High School,23348,Kamilaroi Highway,13253,5,2,Secondary School,-30.219777,149.457028,Comprehensive,Year 7 to Year 12,Coed,820
3416,Wee Waa Public School,41,Cowper Street,13253,5,2,Primary School,-30.223621,149.442587,Comprehensive,Kinder to Year 6,Coed,793
3415,Weethalle Public School,17,Warrego Street,13268,5,2,Primary School,-33.880024,146.619256,Comprehensive,Kinder to Year 6,Coed,953
4305,Weilmoringle Public School,38,Post Office Road,13271,5,2,Primary School,-29.238786,146.918094,Comprehensive,Kinder to Year 6,Coed,622
8197,Wellington High School,6,Simpson Street,13290,5,2,Secondary School,-32.546677,148.947815,Comprehensive,Year 7 to Year 12,Coed,825
3420,Wellington Public School,105,Arthur Street,13290,5,2,Primary School,-32.556883,148.943374,Comprehensive,Kinder to Year 6,Coed,835
3422,Wentworth Falls Public School,60,Falls Road,13313,5,2,Primary School,-33.714112,150.373525,Comprehensive,Kinder to Year 6,Coed,1067
3421,Wentworth Public School,100,Darling Street,13312,5,2,Primary School,-34.103249,141.918751,Comprehensive,Kinder to Year 6,Coed,853
3423,Wentworthville Public School,70-100,Fullagar Road,13314,5,2,Primary School,-33.814004,150.968613,Comprehensive,Kinder to Year 6,Coed,1059
4541,Werrington County Public School,17,Ovens Drive,13331,5,2,Primary School,-33.745130,150.747554,Comprehensive,Kinder to Year 6,Coed,959
4473,Werrington Public School,11,Armstein Crescent,13330,5,2,Primary School,-33.755125,150.745293,Comprehensive,Kinder to Year 6,Coed,938
3425,Werris Creek Public School,68,Dewhurst Street,13333,5,2,Primary School,-31.348938,150.651466,Comprehensive,Kinder to Year 6,Coed,871
2858,West Pennant Hills Public School,556,Pennant Hills Road,13381,5,2,Primary School,-33.746075,151.050491,Comprehensive,Kinder to Year 6,Coed,1127
4283,West Pymble Public School,3,Tristania Place,13389,5,2,Primary School,-33.763937,151.124401,Comprehensive,Kinder to Year 6,Coed,1162
3023,West Ryde Public School,1,Mons Avenue,13395,5,2,Primary School,-33.808363,151.085097,Comprehensive,Kinder to Year 6,Coed,1144
8411,West Wallsend High School,2,Appletree Road,5774,5,2,Secondary School,-32.910565,151.581083,Comprehensive,Year 7 to Year 12,Coed,928
3358,West Wallsend Public School,NULL,NULL,13403,5,2,Primary School,-32.904606,151.580707,Comprehensive,Kinder to Year 6,Coed,926
8392,West Wyalong High School,30,Dumaresq Street,13409,5,2,Secondary School,-33.915793,147.202014,Comprehensive,Year 7 to Year 12,Coed,953
3519,West Wyalong Public School,62,Park Street,13409,5,2,Primary School,-33.918502,147.204056,Comprehensive,Kinder to Year 6,Coed,947
3428,Westdale Public School,12,Marathon Street,13416,5,2,Primary School,-31.093714,150.873927,Comprehensive,Kinder to Year 6,Coed,881
8384,Westfields Sports High School,7,Jansz Place,4374,5,2,Secondary School,-33.866933,150.920432,Sports,Year 7 to Year 12,Coed,977
5238,Westlawn Public School,239,North Street,5180,5,2,Primary School,-29.670687,152.929873,Comprehensive,Kinder to Year 6,Coed,971
3883,Westmead Public School,11,Austral Avenue,13428,5,2,Primary School,-33.810171,150.985291,Comprehensive,Kinder to Year 6,Coed,1147
3431,Weston Public School,23,Sixth Street,13432,5,2,Primary School,-32.809043,151.461023,Comprehensive,Kinder to Year 6,Coed,875
4411,Westport Public School,235,Oxley Highway,10313,5,2,Primary School,-31.437349,152.893038,Comprehensive,Kinder to Year 6,Coed,885
5458,Wetlands Environmental Education Centre,1,Wetlands Place,11228,5,2,Environmental Education Centre,-32.876107,151.696132,Comprehensive,Environmental Education Centre (formerly Field Stu,Coed,NULL
5653,Wewak Street School,978,Wewak Street,9385,5,2,Schools for Specific Purposes,-36.058451,146.929575,Comprehensive,Medium / High Support needs,Coed,NULL
4378,Whalan Public School,10,Balimba Place,13441,5,2,Primary School,-33.752917,150.809664,Comprehensive,Kinder to Year 6,Coed,850
4249,Wheeler Heights Public School,13,Rose Avenue,13449,5,2,Primary School,-33.727790,151.284764,Comprehensive,Kinder to Year 6,Coed,1084
2980,Whian Whian Public School,422,Whian Whian Road,13455,5,2,Primary School,-28.638212,153.314317,Comprehensive,Kinder to Year 6,Coed,1015
3435,White Cliffs Public School,46,Boundary Lane,13463,5,2,Primary School,-30.850852,143.090278,Comprehensive,Kinder to Year 6,Coed,989
8390,Whitebridge High School,2,Koolbury Close,13474,5,2,Secondary School,-32.972025,151.712234,Comprehensive,Year 7 to Year 12,Coed,997
