SchoolCode,SchoolName,StreetNumber,StreetName,Suburb,District,StateName,PostCode,CountryName,LevelOfSchooling,SchoolSubType,LocationLatitude,LocationLongitude,SchoolGender,SchoolSpecialityType
3013,Rukenvale Public School,2303,Summerland Way,Rukenvale,,New South Wales,2474,Australia,Primary School,Kinder to Year 6,-28.468321,152.894396,Coed,Comprehensive
3020,Rydalmere Public School,5,Elonera Street,Rydalmere,,New South Wales,2116,Australia,Primary School,Kinder to Year 6,-33.814317,151.044705,Coed,Comprehensive
3021,Ryde Public School,2,Tucker Street,Ryde,,New South Wales,2112,Australia,Primary School,Kinder to Year 6,-33.812552,151.108015,Coed,Comprehensive
3022,North Ryde Public School,171,Lane Cove Road,North Ryde,,New South Wales,2113,Australia,Primary School,Kinder to Year 6,-33.794766,151.120042,Coed,Comprehensive
3023,West Ryde Public School,1,Mons Avenue,West Ryde,,New South Wales,2114,Australia,Primary School,Kinder to Year 6,-33.808363,151.085097,Coed,Comprehensive
3024,Rye Park Public School,NULL,Yass Street,Rye Park,,New South Wales,2586,Australia,Primary School,Kinder to Year 6,-34.521629,148.906651,Coed,Comprehensive
3025,Rylstone Public School,27,Mudgee Street,Rylstone,,New South Wales,2849,Australia,Primary School,Kinder to Year 6,-32.795564,149.972877,Coed,Comprehensive
3029,St Johns Park Public School,NULL,NULL,Saint Johns Park,,New South Wales,2176,Australia,Primary School,Kinder to Year 6,-33.887204,150.899278,Coed,Comprehensive
3031,St Marys Public School,449,Great Western Highway,Saint Marys,,New South Wales,2760,Australia,Primary School,Kinder to Year 6,-33.768364,150.770634,Coed,Comprehensive
3032,St Peters Public School,31,Saint Peters Street,St Peters,,New South Wales,2044,Australia,Primary School,Kinder to Year 6,-33.912993,151.176696,Coed,Comprehensive
3035,Salt Ash Public School,4,Salt Ash Avenue,Salt Ash,,New South Wales,2318,Australia,Primary School,Kinder to Year 6,-32.787841,151.903848,Coed,Comprehensive
3038,Sans Souci Public School,413-415,Rocky Point Road,Sans Souci,,New South Wales,2219,Australia,Primary School,Kinder to Year 6,-33.994990,151.129230,Coed,Comprehensive
3041,Savernake Public School,NULL,NULL,Savernake,,New South Wales,2646,Australia,Primary School,Kinder to Year 6,-35.732197,146.047569,Coed,Comprehensive
3042,Sawtell Public School,32,Eleventh Avenue,Sawtell,,New South Wales,2452,Australia,Primary School,Kinder to Year 6,-30.363316,153.097640,Coed,Comprehensive
3045,Scarborough Public School,NULL,NULL,Scarborough,,New South Wales,2515,Australia,Primary School,Kinder to Year 6,-34.266182,150.966036,Coed,Comprehensive
3046,Schofields Public School,60,Saint Albans Road,Schofields,,New South Wales,2762,Australia,Primary School,Kinder to Year 6,-33.693115,150.875247,Coed,Comprehensive
3048,Seaham Public School,9,Dixon Street,Seaham,,New South Wales,2324,Australia,Primary School,Kinder to Year 6,-32.662095,151.729362,Coed,Comprehensive
3053,Seven Hills North Public School,5,Elgar Place,Seven Hills,,New South Wales,2147,Australia,Primary School,Kinder to Year 6,-33.759976,150.955041,Coed,Comprehensive
3060,Shellharbour Public School,49,Mary Street,Shellharbour,,New South Wales,2529,Australia,Primary School,Kinder to Year 6,-34.578968,150.865109,Coed,Comprehensive
3065,Shortland Public School,142,Sandgate Road,Shortland,,New South Wales,2307,Australia,Primary School,Kinder to Year 6,-32.881435,151.695063,Coed,Comprehensive
