TransportId,Name,StopId,StreetNumber,StreetName,Suburb,PostCode,State,Country,EntranceType,Latitude,Longitude,ExitNumber
6459,Ingleburn,397,3,Ingleburn Road,Ingleburn,2565,New South Wales,Australia,Stairs,-33.997889,150.864377,NULL
6460,Stanley,398,NULL,NULL,Ingleburn,2565,New South Wales,Australia,Ramp,-33.997421,150.864313,NULL
6461,Stanley,399,45,Stanley Road,Ingleburn,2565,New South Wales,Australia,Stairs,-33.997576,150.864010,NULL
6462,Departure,400,1072,Airport Drive,Mascot,2020,New South Wales,Australia,Escalators,-33.935181,151.166541,NULL
6463,Departure,401,1072,Airport Drive,Mascot,2020,New South Wales,Australia,Lift,-33.935207,151.166470,NULL
6464,Departure,402,1072,Airport Drive,Mascot,2020,New South Wales,Australia,Lift,-33.935198,151.166446,NULL
6465,Railway,403,NULL,NULL,Jannali,2226,New South Wales,Australia,Ramp,-34.016091,151.064840,NULL
6466,Railway,404,63,Railway Crescent,Jannali,2226,New South Wales,Australia,Path,-34.015883,151.064756,NULL
6467,Mitchell,405,3A,Jannali Avenue,Jannali,2226,New South Wales,Australia,Ramp,-34.015994,151.064370,NULL
6468,Harris,406,27A,Harvey Street,Pyrmont,2009,New South Wales,Australia,Ramp,-33.867262,151.192430,NULL
6469,Harvey,407,27,Harvey Street,Pyrmont,2009,New South Wales,Australia,Stairs,-33.867162,151.192075,NULL
6470,Chapman,408,7,Victoria Road,Glebe,2037,New South Wales,Australia,Stairs,-33.875320,151.178614,NULL
6471,Chapman,409,12,Maxwell Road,Forest Lodge,2037,New South Wales,Australia,Ramp,-33.875338,151.178597,NULL
6472,Chapman,410,12,Maxwell Road,Forest Lodge,2037,New South Wales,Australia,Ramp,-33.875560,151.178368,NULL
6473,Goldsmith,411,273,Great Western Highway,Katoomba,2780,New South Wales,Australia,Ramp,-33.711948,150.312168,NULL
6474,Bathurst,412,77,Bathurst Road,Katoomba,2780,New South Wales,Australia,Ramp,-33.712276,150.312138,NULL
6475,Bathurst,413,75,Bathurst Road,Katoomba,2780,New South Wales,Australia,Lift,-33.712282,150.311982,NULL
6476,Bathurst,414,287,Bathurst Road,Katoomba,2780,New South Wales,Australia,Stairs,-33.712252,150.311784,NULL
6477,West Dapto,415,3,West Dapto Road,Kembla Grange,2526,New South Wales,Australia,Ramp,-34.470126,150.817796,NULL
6478,Railway,416,35,Bong Bong Street,Kiama,2533,New South Wales,Australia,Path,-34.672599,150.854366,NULL
6479,Werona,417,23A,Werona Avenue,Killara,2071,New South Wales,Australia,Stairs,-33.765694,151.162099,NULL
6480,Culworth,418,18,Culworth Avenue,Killara,2071,New South Wales,Australia,Stairs,-33.765852,151.161797,NULL
6481,Victoria,419,NULL,Darlinghurst Road,Potts Point,2011,New South Wales,Australia,Stairs,-33.874031,151.222503,NULL
6482,Victoria,420,NULL,Darlinghurst Road,Potts Point,2011,New South Wales,Australia,Lift,-33.874269,151.222204,NULL
6483,Victoria,421,NULL,Darlinghurst Road,Potts Point,2011,New South Wales,Australia,Stairs,-33.874237,151.222195,NULL
6484,Kingsgrove,422,1,Commercial Road,Kingsgrove,2208,New South Wales,Australia,Stairs,-33.940375,151.101084,NULL
6485,Kingsgrove,423,231,Kingsgrove Road,Kingsgrove,2208,New South Wales,Australia,Lift,-33.940480,151.100874,NULL
6486,Kingsgrove,424,1,Commercial Road,Kingsgrove,2208,New South Wales,Australia,Stairs,-33.940457,151.100856,NULL
6487,Richmond,425,NULL,NULL,Kingswood,2747,New South Wales,Australia,Ramp,-33.758233,150.720239,NULL
6488,Great Western,426,NULL,NULL,Kingswood,2747,New South Wales,Australia,Lift,-33.758426,150.720233,NULL
