StateCode,State,District,City,Suburb,PostCode,Location,PropertyMedianValue,UpdatedYear,UpdatedMonth
NSW,NEW SOUTH WALES,NULL,SYDNEY,Daceyville,2032,NULL,1870000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Kingsford,2032,NULL,1870000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Kensington,2033,NULL,980000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Coogee,2034,NULL,1275000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,South Coogee,2034,NULL,1275000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Maroubra,2035,NULL,1400000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Maroubra South,2035,NULL,1400000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Pagewood,2035,NULL,1400000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Chifley,2036,NULL,840000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Eastgardens,2036,NULL,840000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Hillsdale,2036,NULL,840000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,La Perouse,2036,NULL,840000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Little Bay,2036,NULL,840000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Malabar,2036,NULL,840000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Matraville,2036,NULL,840000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Phillip Bay,2036,NULL,840000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Port Botany,2036,NULL,840000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Forest Lodge,2037,NULL,1433750.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Glebe,2037,NULL,1433750.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Annandale,2038,NULL,1350000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Rozelle,2039,NULL,1593000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Leichhardt,2040,NULL,1480000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Lilyfield,2040,NULL,1480000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Balmain,2041,NULL,1750000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Balmain East,2041,NULL,1750000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Birchgrove,2041,NULL,1750000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Enmore,2042,NULL,1192500.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Newtown,2042,NULL,1192500.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Erskineville,2043,NULL,1080000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,St Peters,2044,NULL,1301500.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Sydenham,2044,NULL,1301500.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Tempe,2044,NULL,1301500.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Haberfield,2045,NULL,1910000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Abbotsford,2046,NULL,1365000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Canada Bay,2046,NULL,1365000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Chiswick,2046,NULL,1365000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Five Dock,2046,NULL,1365000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Rodd Point,2046,NULL,1365000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Russell Lea,2046,NULL,1365000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Wareemba,2046,NULL,1365000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Drummoyne,2047,NULL,1500000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Stanmore,2048,NULL,1360000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Lewisham,2049,NULL,956000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Petersham,2049,NULL,956000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Petersham North,2049,NULL,956000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Camperdown,2050,NULL,843000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Missenden Road,2050,NULL,843000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Hmas Waterhen,2060,NULL,1350000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Lavender Bay,2060,NULL,1350000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Mcmahons Point,2060,NULL,1350000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,North Sydney,2060,NULL,1350000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,North Sydney Shoppingworld,2060,NULL,1350000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Waverton,2060,NULL,1350000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Kirribilli,2061,NULL,1415500.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Milsons Point,2061,NULL,1415500.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Cammeray,2062,NULL,1250000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Northbridge,2063,NULL,3210000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Artarmon,2064,NULL,980000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Crows Nest,2065,NULL,1300000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Greenwich,2065,NULL,1300000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Naremburn,2065,NULL,1300000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Royal North Shore Hospital,2065,NULL,1300000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,St Leonards,2065,NULL,1300000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Wollstonecraft,2065,NULL,1300000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Lane Cove,2066,NULL,1082500.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Lane Cove North,2066,NULL,1082500.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Lane Cove West,2066,NULL,1082500.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Linley Point,2066,NULL,1082500.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Longueville,2066,NULL,1082500.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Northwood,2066,NULL,1082500.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Riverview,2066,NULL,1082500.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Chatswood,2067,NULL,1187000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Chatswood West,2067,NULL,1187000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Castlecrag,2068,NULL,2272500.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Middle Cove,2068,NULL,2272500.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,North Willoughby,2068,NULL,2272500.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Willoughby,2068,NULL,2272500.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Willoughby East,2068,NULL,2272500.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Willoughby North,2068,NULL,2272500.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Castle Cove,2069,NULL,2510000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Roseville,2069,NULL,2510000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Roseville Chase,2069,NULL,2510000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,East Lindfield,2070,NULL,2070040.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Lindfield,2070,NULL,2070040.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Lindfield West,2070,NULL,2070040.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,East Killara,2071,NULL,2150000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Killara,2071,NULL,2150000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Gordon,2072,NULL,1000500.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Pymble,2073,NULL,2235000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,West Pymble,2073,NULL,2235000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,North Turramurra,2074,NULL,1836500.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,South Turramurra,2074,NULL,1836500.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Turramurra,2074,NULL,1836500.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Warrawee,2074,NULL,1836500.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,St Ives,2075,NULL,1830000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,St Ives Chase,2075,NULL,1830000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Normanhurst,2076,NULL,1650000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,North Wahroonga,2076,NULL,1650000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Wahroonga,2076,NULL,1650000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Asquith,2077,NULL,770000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Hornsby,2077,NULL,770000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Hornsby Heights,2077,NULL,770000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Waitara,2077,NULL,770000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Mount Colah,2079,NULL,1210000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Mount Kuring-Gai,2080,NULL,NULL,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Berowra,2081,NULL,1220000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Cowan,2081,NULL,1220000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Berowra Heights,2082,NULL,1177500.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Berowra Waters,2082,NULL,1177500.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Bar Point,2083,NULL,NULL,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Brooklyn,2083,NULL,NULL,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Cheero Point,2083,NULL,NULL,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Cogra Bay,2083,NULL,NULL,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Dangar Island,2083,NULL,NULL,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Milsons Passage,2083,NULL,NULL,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Mooney Mooney,2083,NULL,NULL,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Cottage Point,2084,NULL,NULL,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Duffys Forest,2084,NULL,NULL,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Terrey Hills,2084,NULL,NULL,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Belrose,2085,NULL,1600000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Belrose West,2085,NULL,1600000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Davidson,2085,NULL,1600000.00,2017,6
NSW,NEW SOUTH WALES,NULL,SYDNEY,Frenchs Forest,2086,NULL,1645500.00,2017,6
