TransportId,Name,StopId,StreetNumber,StreetName,Suburb,PostCode,State,Country,EntranceType,Latitude,Longitude,ExitNumber
5689,Porter,638,18,Porter Street,North Wollongong,2500,New South Wales,Australia,Lift,-34.412085,150.891361,NULL
5690,Porter,639,18,Porter Street,North Wollongong,2500,New South Wales,Australia,Path,-34.412087,150.891326,NULL
5691,Porter,640,20,Porter Street,North Wollongong,2500,New South Wales,Australia,Stairs,-34.412306,150.891248,NULL
5692,Pomeroy,641,27,Beronga Street,North Strathfield,2137,New South Wales,Australia,Ramp,-33.857557,151.087398,NULL
5693,Stanford,642,NULL,Stanford Drive,Oak Flats,2529,New South Wales,Australia,Ramp,-34.571981,150.820611,NULL
5694,Stanford,643,NULL,Stanford Drive,Oak Flats,2529,New South Wales,Australia,Stairs,-34.571888,150.820453,NULL
5695,Stanford,644,NULL,Stanford Drive,Oak Flats,2529,New South Wales,Australia,Ramp,-34.571730,150.820208,NULL
5696,Oatley,645,12A,Oatley Parade,Oatley,2223,New South Wales,Australia,Lift,-33.980228,151.079292,NULL
5697,River,646,4,Mulga Road,Oatley,2223,New South Wales,Australia,Stairs,-33.980004,151.078968,NULL
5698,Mulga,647,NULL,NULL,Oatley,2223,New South Wales,Australia,Lift,-33.980259,151.078761,NULL
5699,Park,648,1,Park Street,Sydney Olympic Park,2127,New South Wales,Australia,Path,-33.846111,151.070683,NULL
5700,Dawn Fraser,649,8,Dawn Fraser Avenue,Sydney Olympic Park,2127,New South Wales,Australia,Path,-33.846478,151.070287,NULL
5701,Murray Rose,650,7,Murray Rose Avenue,Sydney Olympic Park,2127,New South Wales,Australia,Path,-33.846086,151.070081,NULL
5702,Dawn Fraser,651,8,Dawn Fraser Avenue,Sydney Olympic Park,2127,New South Wales,Australia,Path,-33.846566,151.070046,NULL
5703,Murray Rose,652,NULL,NULL,Sydney Olympic Park,2127,New South Wales,Australia,Stairs,-33.846173,151.069828,NULL
