SchoolId,SchoolCode,SchoolName,StreetNumber,StreetName,Suburb,District,PostCode,State,Country,LevelOfSchooling,Latitude,Longitude,SchoolSpecialtyType,SchoolSubType,SchoolGender
1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,1001,Abbotsford Public School,348,Great North Road,Abbotsford,,2046,New South Wales,Australia,Primary School,-33.852728,151.131206,Comprehensive,Kinder to Year 6,Coed
3,1002,Aberdeen Public School,8,Graeme Street,Aberdeen,,2336,New South Wales,Australia,Primary School,-32.166098,150.888095,Comprehensive,Kinder to Year 6,Coed
4,1003,Abermain Public School,6,Goulburn Street,Abermain,,2326,New South Wales,Australia,Primary School,-32.808920,151.426499,Comprehensive,Kinder to Year 6,Coed
5,1007,Adaminaby Public School,9,Cosgrove Street,Adaminaby,,2629,New South Wales,Australia,Primary School,-35.993292,148.776721,Comprehensive,Kinder to Year 6,Coed
6,1008,Adamstown Public School,1A,Bryant Street,Adamstown,,2289,New South Wales,Australia,Primary School,-32.932213,151.730971,Comprehensive,Kinder to Year 6,Coed
7,1009,Adelong Public School,50,Gilmore Street,Adelong,,2729,New South Wales,Australia,Primary School,-35.312333,148.062802,Comprehensive,Kinder to Year 6,Coed
8,3640,Afterlee Public School,2078,Afterlee Road,Afterlee,,2474,New South Wales,Australia,Primary School,-28.582276,152.817857,Comprehensive,Kinder to Year 6,Coed
9,8493,Airds High School,2,Briar Road,Airds,,2560,New South Wales,Australia,Secondary School,-34.086883,150.827109,Comprehensive,Year 7 to Year 12,Coed
10,5748,Ajuga School,NULL,Unnamed Road,Glenfield,,2167,New South Wales,Australia,Schools for Specific Purposes,-33.969521,150.878033,Comprehensive,Emotional disturbance,Coed
11,4177,Albert Park Public School,344,Keen Street,East Lismore,,2480,New South Wales,Australia,Primary School,-28.821563,153.272498,Comprehensive,Kinder to Year 6,Coed
12,8586,Albion Park High School,27,Scarborough Circuit,Albion Park,,2527,New South Wales,Australia,Secondary School,-34.576702,150.773359,Comprehensive,Year 7 to Year 12,Coed
13,1015,Albion Park Public School,154,Tongarra Road,Albion Park,,2527,New South Wales,Australia,Primary School,-34.570257,150.772620,Comprehensive,Kinder to Year 6,Coed
14,4121,Albion Park Rail Public School,16,Gow Avenue,Albion Park Rail,,2527,New South Wales,Australia,Primary School,-34.567550,150.798668,Comprehensive,Kinder to Year 6,Coed
15,8101,Albury High School,646,Jones Street,Albury,,2640,New South Wales,Australia,Secondary School,-36.072846,146.915442,Comprehensive,Year 7 to Year 12,Coed
16,3922,Albury North Public School,317,Fallon Street,North Albury,,2640,New South Wales,Australia,Primary School,-36.064177,146.932402,Comprehensive,Kinder to Year 6,Coed
17,1017,Albury Public School,481,David Street,Albury,,2640,New South Wales,Australia,Primary School,-36.082454,146.919253,Comprehensive,Kinder to Year 6,Coed
18,1019,Albury West Public School,508,Hill Street,West Albury,,2640,New South Wales,Australia,Primary School,-36.077830,146.895548,Comprehensive,Kinder to Year 6,Coed
19,4601,Aldavilla Public School,18,McPhillips Place,Greenhill,,2440,New South Wales,Australia,Primary School,-31.055771,152.786972,Comprehensive,Kinder to Year 6,Coed
20,8556,Alexandria Park Community School,9-13,Park Road,Alexandria,,2015,New South Wales,Australia,Central/Community School,-33.900941,151.195844,Comprehensive,Kinder to Year 12,Coed
21,4605,Alfords Point Public School,2C,Brushwood Drive,Alfords Point,,2234,New South Wales,Australia,Primary School,-33.992403,151.023990,Comprehensive,Kinder to Year 6,Coed
22,4200,Allambie Heights Public School,165,Allambie Road,Allambie Heights,,2100,New South Wales,Australia,Primary School,-33.766150,151.249208,Comprehensive,Kinder to Year 6,Coed
23,1028,Alma Public School,24,Comstock Street,Broken Hill,,2880,New South Wales,Australia,Primary School,-31.982217,141.462443,Comprehensive,Kinder to Year 6,Coed
24,8578,Alstonville High School,14,Cawley Close,Alstonville,,2477,New South Wales,Australia,Secondary School,-28.838812,153.433756,Comprehensive,Year 7 to Year 12,Coed
25,1030,Alstonville Public School,3,Bugden Avenue,Alstonville,,2477,New South Wales,Australia,Primary School,-28.838471,153.438172,Comprehensive,Kinder to Year 6,Coed
26,8570,Ambarvale High School,36,Holman Place,Saint Helens Park,,2560,New South Wales,Australia,Secondary School,-34.099984,150.801938,Comprehensive,Year 7 to Year 12,Coed
27,4505,Ambarvale Public School,23,Lillyvicks Crescent,Ambarvale,,2560,New South Wales,Australia,Primary School,-34.086423,150.798192,Comprehensive,Kinder to Year 6,Coed
28,1040,Anna Bay Public School,191,Gan Gan Road,Anna Bay,,2316,New South Wales,Australia,Primary School,-32.776370,152.089912,Comprehensive,Kinder to Year 6,Coed
29,1042,Annandale North Public School,251,Piper Lane,Annandale,,2038,New South Wales,Australia,Primary School,-33.877905,151.171835,Comprehensive,Kinder to Year 6,Coed
30,1041,Annandale Public School,25,Johnston Street,Annandale,,2038,New South Wales,Australia,Primary School,-33.885782,151.169599,Comprehensive,Kinder to Year 6,Coed
31,3719,Annangrove Public School,189A,Annangrove Road,Annangrove,,2156,New South Wales,Australia,Primary School,-33.667417,150.952550,Comprehensive,Kinder to Year 6,Coed
32,5625,Anson Street School,94,Anson Street,Orange,,2800,New South Wales,Australia,Schools for Specific Purposes,-33.296478,149.097489,Comprehensive,Medium / High Support needs,Coed
33,4656,Anzac Park Public School,2,Anzac Avenue,Cammeray,,2062,New South Wales,Australia,Primary School,-33.826566,151.210731,Comprehensive,Kinder to Year 6,Coed
34,1045,Appin Public School,97,Appin Road,Appin,,2560,New South Wales,Australia,Primary School,-34.198417,150.787660,Comprehensive,Kinder to Year 6,Coed
35,1048,Arcadia Public School,136,Arcadia Road,Arcadia,,2159,New South Wales,Australia,Primary School,-33.623487,151.051031,Comprehensive,Kinder to Year 6,Coed
36,4132,Arcadia Vale Public School,36,Brooks Street,Arcadia Vale,,2283,New South Wales,Australia,Primary School,-33.060231,151.582044,Comprehensive,Kinder to Year 6,Coed
37,1051,Ardlethan Central School,9,Bygoo Street,Ardlethan,,2665,New South Wales,Australia,Central/Community School,-34.354098,146.900557,Comprehensive,Kinder to Year 12,Coed
38,3904,Argenton Public School,23,Victoria Street,Argenton,,2284,New South Wales,Australia,Primary School,-32.938493,151.629533,Comprehensive,Kinder to Year 6,Coed
39,1055,Ariah Park Central School,4,Hopetoun Street,Ariah Park,,2665,New South Wales,Australia,Central/Community School,-34.346925,147.218018,Comprehensive,Kinder to Year 12,Coed
40,1057,Armidale City Public School,170,Dangar Street,Armidale,,2350,New South Wales,Australia,Primary School,-30.519501,151.664056,Comprehensive,Kinder to Year 6,Coed
41,8102,Armidale High School,187,Mossman Street,Armidale,,2350,New South Wales,Australia,Secondary School,-30.519371,151.650348,Comprehensive,Year 7 to Year 12,Coed
42,7401,Arncliffe Public School,168,Princes Highway,Arncliffe,,2205,New South Wales,Australia,Primary School,-33.940540,151.147550,Comprehensive,Kinder to Year 6,Coed
43,5103,Arncliffe West Infants School,22,Loftus Street,Turrella,,2205,New South Wales,Australia,Infants School,-33.931832,151.145160,Comprehensive,Kinder to Year 2,Coed
44,5538,Arndell School,10,Third Avenue,North Ryde,,2113,New South Wales,Australia,Schools for Specific Purposes,-33.803223,151.125535,Comprehensive,Emotional disturbance,Coed
45,5656,Arranounbai School,37,Madison Way,Allambie Heights,,2100,New South Wales,Australia,Schools for Specific Purposes,-33.756784,151.241291,Comprehensive,Medium / High Support needs,Coed
46,1061,Artarmon Public School,1,Abbott Road,Artarmon,,2064,New South Wales,Australia,Primary School,-33.811249,151.186001,Comprehensive,Kinder to Year 6,Coed
47,8892,Arthur Phillip High School,177,Macquarie Street,Parramatta,,2150,New South Wales,Australia,Secondary School,-33.816386,151.007364,Comprehensive,Year 7 to Year 12,Coed
48,1064,Ashbury Public School,34-76,Trevenar Street,Ashbury,,2193,New South Wales,Australia,Primary School,-33.898833,151.119440,Comprehensive,Kinder to Year 6,Coed
49,8397,Ashcroft High School,16,Stanwell Crescent,Ashcroft,,2168,New South Wales,Australia,Secondary School,-33.920414,150.897272,Comprehensive,Year 7 to Year 12,Coed
50,4344,Ashcroft Public School,9,Havard Place,Ashcroft,,2168,New South Wales,Australia,Primary School,-33.916395,150.898390,Comprehensive,Kinder to Year 6,Coed
51,8832,Ashfield Boys High School,113,Liverpool Road,Ashfield,,2131,New South Wales,Australia,Secondary School,-33.889547,151.129219,Comprehensive,Year 7 to Year 12,Boys
52,1065,Ashfield Public School,4,Murrell Street,Ashfield,,2131,New South Wales,Australia,Primary School,-33.889723,151.128210,Comprehensive,Kinder to Year 6,Coed
53,1066,Ashford Central School,51,Martyn Street,Ashford,,2361,New South Wales,Australia,Central/Community School,-29.321262,151.094638,Comprehensive,Kinder to Year 12,Coed
54,4375,Ashmont Public School,74,Ashmont Avenue,Ashmont,,2650,New South Wales,Australia,Primary School,-35.124467,147.332815,Comprehensive,Kinder to Year 6,Coed
55,4642,Ashtonfield Public School,3,Norfolk Street,Ashtonfield,,2323,New South Wales,Australia,Primary School,-32.772442,151.600798,Comprehensive,Kinder to Year 6,Coed
56,8245,Asquith Boys High School,17,Citrus Avenue,Hornsby,,2077,New South Wales,Australia,Secondary School,-33.692276,151.103016,Comprehensive,Year 7 to Year 12,Boys
57,8222,Asquith Girls High School,32,Baldwin Avenue,Asquith,,2077,New South Wales,Australia,Secondary School,-33.689716,151.112750,Comprehensive,Year 7 to Year 12,Girls
58,1070,Asquith Public School,3,Dudley Street,Asquith,,2077,New South Wales,Australia,Primary School,-33.685729,151.112177,Comprehensive,Kinder to Year 6,Coed
59,3453,Athelstane Public School,12,Athelstane Avenue,Arncliffe,,2205,New South Wales,Australia,Primary School,-33.937445,151.138362,Comprehensive,Kinder to Year 6,Coed
60,1071,Attunga Public School,NULL,NULL,Attunga,,2345,New South Wales,Australia,Primary School,-30.930445,150.846575,Comprehensive,Kinder to Year 6,Coed
61,8253,Auburn Girls High School,17,Braemar Avenue,Auburn,,2144,New South Wales,Australia,Secondary School,-33.842880,151.033681,Comprehensive,Year 7 to Year 12,Girls
62,1073,Auburn North Public School,100,Adderley Street West,Auburn,,2144,New South Wales,Australia,Primary School,-33.841669,151.038618,Comprehensive,Kinder to Year 6,Coed
63,7403,Auburn Public School,NULL,NULL,Auburn,,2144,New South Wales,Australia,Primary School,-33.854000,151.032953,Comprehensive,Kinder to Year 6,Coed
64,1075,Auburn West Public School,13,Beaumont Street,Auburn,,2144,New South Wales,Australia,Primary School,-33.860931,151.019764,Comprehensive,Kinder to Year 6,Coed
65,8912,Aurora College,4A,Smalls Road,Ryde,,2112,New South Wales,Australia,Secondary School,-33.800017,151.109089,Other,Year 7 to Year 12,Coed
66,1076,Austinmer Public School,1,Austinmer Street,Austinmer,,2515,New South Wales,Australia,Primary School,-34.305398,150.934991,Comprehensive,Kinder to Year 6,Coed
67,1077,Austral Public School,219,Edmondson Avenue,Austral,,2179,New South Wales,Australia,Primary School,-33.934487,150.812638,Comprehensive,Kinder to Year 6,Coed
68,5104,Australia Street Infants School,229,Australia Street,Newtown,,2042,New South Wales,Australia,Infants School,-33.895783,151.177607,Comprehensive,Kinder to Year 2,Coed
69,3792,Avalon Public School,NULL,NULL,Avalon Beach,,2107,New South Wales,Australia,Primary School,-33.639377,151.326739,Comprehensive,Kinder to Year 6,Coed
70,1082,Avoca Beach Public School,91A,The Round Drive,Avoca Beach,,2251,New South Wales,Australia,Primary School,-33.471154,151.430745,Comprehensive,Kinder to Year 6,Coed
71,1081,Avoca Public School,NULL,NULL,Avoca,,2577,New South Wales,Australia,Primary School,-34.612697,150.479766,Comprehensive,Kinder to Year 6,Coed
72,1084,Awaba Public School,18,Nellinda Street,Awaba,,2283,New South Wales,Australia,Primary School,-33.010554,151.538068,Comprehensive,Kinder to Year 6,Coed
73,5682,Awabakal Environmental Education Centre,31,Boundary Street,Dudley,,2290,New South Wales,Australia,Environmental Education Centre,-32.990629,151.716639,Comprehensive,Environmental Education Centre (formerly Field Stu,Coed
74,4291,Balarang Public School,8,Wyang Place,Oak Flats,,2529,New South Wales,Australia,Primary School,-34.559760,150.831115,Comprehensive,Kinder to Year 6,Coed
75,1098,Bald Blair Public School,2132,Green Hills Road,Green Hills,,2365,New South Wales,Australia,Primary School,-30.229893,151.785056,Comprehensive,Kinder to Year 6,Coed
76,3794,Bald Face Public School,84,Stuart Street,Blakehurst,,2221,New South Wales,Australia,Primary School,-33.996752,151.106905,Comprehensive,Kinder to Year 6,Coed
77,3736,Balgowlah Heights Public School,12,Radio Avenue,Balgowlah Heights,,2093,New South Wales,Australia,Primary School,-33.805985,151.258754,Comprehensive,Kinder to Year 6,Coed
78,3984,Balgowlah North Public School,18,Gloucester Street,North Balgowlah,,2093,New South Wales,Australia,Primary School,-33.783267,151.246457,Comprehensive,Kinder to Year 6,Coed
79,1106,Balgownie Public School,39,Chalmers Street,Balgownie,,2519,New South Wales,Australia,Primary School,-34.386984,150.872076,Comprehensive,Kinder to Year 6,Coed
80,1111,Ballimore Public School,25,Bomen Street,Ballimore,,2830,New South Wales,Australia,Primary School,-32.193596,148.899631,Comprehensive,Kinder to Year 6,Coed
81,8195,Ballina High School,41,Martin Street,Ballina,,2478,New South Wales,Australia,Secondary School,-28.866603,153.565058,Comprehensive,Year 7 to Year 12,Coed
82,1112,Ballina Public School,48,Crane Street,Ballina,,2478,New South Wales,Australia,Primary School,-28.869724,153.563707,Comprehensive,Kinder to Year 6,Coed
83,7404,Balmain Public School,1,Eaton Street,Balmain,,2041,New South Wales,Australia,Primary School,-33.859166,151.183417,Comprehensive,Kinder to Year 6,Coed
84,1115,Balranald Central School,53-55,We Street,Balranald,,2715,New South Wales,Australia,Central/Community School,-34.635575,143.564769,Comprehensive,Kinder to Year 12,Coed
85,1118,Bangalow Public School,45,Byron Street,Bangalow,,2479,New South Wales,Australia,Primary School,-28.685540,153.525743,Comprehensive,Kinder to Year 6,Coed
86,4536,Bangor Public School,130,Menai Road,Bangor,,2234,New South Wales,Australia,Primary School,-34.019534,151.029118,Comprehensive,Kinder to Year 6,Coed
87,4571,Banks Public School,182-194,Banks Drive,Saint Clair,,2759,New South Wales,Australia,Primary School,-33.793717,150.773098,Comprehensive,Kinder to Year 6,Coed
88,4217,Banksia Road Public School,65,Banksia Road,Greenacre,,2190,New South Wales,Australia,Primary School,-33.906898,151.050110,Comprehensive,Kinder to Year 6,Coed
89,1121,Banksmeadow Public School,14,Wiggins Street,Botany,,2019,New South Wales,Australia,Primary School,-33.953739,151.206610,Comprehensive,Kinder to Year 6,Coed
90,8254,Bankstown Girls High School,256,Chapel Road South,Bankstown,,2200,New South Wales,Australia,Secondary School,-33.920754,151.032138,Comprehensive,Year 7 to Year 12,Girls
91,5548,Bankstown Hospital School,21,Artegall Street,Bankstown,,2200,New South Wales,Australia,Schools for Specific Purposes,-33.933446,151.021069,Comprehensive,Hospital School,Coed
92,1124,Bankstown North Public School,27C,Rookwood Road,Bankstown,,2200,New South Wales,Australia,Primary School,-33.904888,151.038043,Comprehensive,Kinder to Year 6,Coed
93,7405,Bankstown Public School,NULL,NULL,Bankstown,,2200,New South Wales,Australia,Primary School,-33.921122,151.034168,Comprehensive,Kinder to Year 6,Coed
94,8381,Bankstown Senior College,27,High Street,Bankstown,,2200,New South Wales,Australia,Secondary School,-33.929121,151.022569,Senior College,Year 10 to Year 12,Coed
95,5246,Bankstown South Infants School,14,Stacey Street,Bankstown,,2200,New South Wales,Australia,Infants School,-33.931230,151.038402,Comprehensive,Kinder to Year 2,Coed
96,4142,Bankstown West Public School,21,Dutton Street,Bankstown,,2200,New South Wales,Australia,Primary School,-33.915528,151.019639,Comprehensive,Kinder to Year 6,Coed
97,8282,Banora Point High School,NULL,NULL,Banora Point,,2486,New South Wales,Australia,Secondary School,-28.215457,153.525324,Comprehensive,Year 7 to Year 12,Coed
98,1129,Banora Point Public School,97,Pioneer Parade,Banora Point,,2486,New South Wales,Australia,Primary School,-28.222422,153.543702,Comprehensive,Kinder to Year 6,Coed
99,1130,Baradine Central School,17-1,Gardiner Street,Baradine,,2396,New South Wales,Australia,Central/Community School,-30.950736,149.070198,Comprehensive,Kinder to Year 12,Coed
100,4311,Bardia Public School,100,Arthur Allen Drive,Bardia,,2565,New South Wales,Australia,Primary School,-33.975280,150.857923,Comprehensive,Kinder to Year 6,Coed
101,5148,Bardwell Park Infants School,4,Crewe Lane,Bardwell Park,,2207,New South Wales,Australia,Infants School,-33.933428,151.125550,Comprehensive,Kinder to Year 2,Coed
102,1131,Barellan Central School,47,Mallee Street,Barellan,,2665,New South Wales,Australia,Central/Community School,-34.287799,146.571928,Comprehensive,Kinder to Year 12,Coed
103,1134,Bargo Public School,NULL,NULL,Bargo,,2574,New South Wales,Australia,Primary School,-34.292889,150.582740,Comprehensive,Kinder to Year 6,Coed
104,8461,Barham High School,98,Punt Road,Barham,,2732,New South Wales,Australia,Secondary School,-35.623000,144.132055,Comprehensive,Year 7 to Year 12,Coed
105,1135,Barham Public School,61,Noorong Street,Barham,,2732,New South Wales,Australia,Primary School,-35.626915,144.127977,Comprehensive,Kinder to Year 6,Coed
106,1136,Barkers Vale Public School,4501,Kyogle Road,Wadeville,,2474,New South Wales,Australia,Primary School,-28.549020,153.149270,Comprehensive,Kinder to Year 6,Coed
107,1137,Barmedman Public School,21,Robertson Street,Barmedman,,2668,New South Wales,Australia,Primary School,-34.148277,147.385078,Comprehensive,Kinder to Year 6,Coed
108,4599,Barnier Public School,120,Barnier Drive,Quakers Hill,,2763,New South Wales,Australia,Primary School,-33.720510,150.901824,Comprehensive,Kinder to Year 6,Coed
109,1138,Barnsley Public School,1,Henry Street,Barnsley,,2278,New South Wales,Australia,Primary School,-32.933094,151.594552,Comprehensive,Kinder to Year 6,Coed
110,1139,Barooga Public School,17,Hughes Street,Barooga,,3644,New South Wales,Australia,Primary School,-35.912963,145.695985,Comprehensive,Kinder to Year 6,Coed
111,1140,Barraba Central School,NULL,Memorial Drive,Barraba,,2347,New South Wales,Australia,Central/Community School,-30.382390,150.599478,Comprehensive,Kinder to Year 12,Coed
112,4501,Barrack Heights Public School,25,Hunter Street,Barrack Heights,,2528,New South Wales,Australia,Primary School,-34.559085,150.846032,Comprehensive,Kinder to Year 6,Coed
113,8454,Barrenjoey High School,1,Coonanga Road,Avalon Beach,,2107,New South Wales,Australia,Secondary School,-33.631170,151.333926,Comprehensive,Year 7 to Year 12,Coed
114,1143,Barrington Public School,28,Skye Road,Barrington,,2422,New South Wales,Australia,Primary School,-31.971159,151.911058,Comprehensive,Kinder to Year 6,Coed
115,5762,Barwon Learning Centre,400,Boston Street,Moree,,2400,New South Wales,Australia,Schools for Specific Purposes,-29.482103,149.842223,Comprehensive,Behaviour Disorder,Coed
116,1146,Baryulgil Public School,7135,Clarence Way,Baryulgil,,2460,New South Wales,Australia,Primary School,-29.223500,152.605615,Comprehensive,Kinder to Year 6,Coed
117,8223,Bass High School,106,Johnston Road,Bass Hill,,2197,New South Wales,Australia,Secondary School,-33.897941,150.989379,Comprehensive,Year 7 to Year 12,Coed
118,1148,Bass Hill Public School,17,Horton Street,Yagoona,,2199,New South Wales,Australia,Primary School,-33.905902,151.005779,Comprehensive,Kinder to Year 6,Coed
119,4520,Bateau Bay Public School,2A,Waratah Street,Bateau Bay,,2261,New South Wales,Australia,Primary School,-33.391771,151.476143,Comprehensive,Kinder to Year 6,Coed
120,8581,Batemans Bay High School,2,George Bass Drive,Batehaven,,2536,New South Wales,Australia,Secondary School,-35.729246,150.194447,Comprehensive,Year 7 to Year 12,Coed
121,1149,Batemans Bay Public School,NULL,Mundarra Way,Surfside,,2536,New South Wales,Australia,Primary School,-35.700051,150.188373,Comprehensive,Kinder to Year 6,Coed
122,5647,Bates Drive School,2G,Bates Drive,Kareela,,2232,New South Wales,Australia,Schools for Specific Purposes,-34.022243,151.085270,Comprehensive,Medium / High Support needs,Coed
123,1150,Bathurst Public School,191,Lambert Street,Bathurst,,2795,New South Wales,Australia,Primary School,-33.420942,149.570615,Comprehensive,Kinder to Year 6,Coed
124,3847,Bathurst South Public School,NULL,Havannah Street,Bathurst,,2795,New South Wales,Australia,Primary School,-33.432989,149.568873,Comprehensive,Kinder to Year 6,Coed
125,3824,Bathurst West Public School,29A,Suttor Street,West Bathurst,,2795,New South Wales,Australia,Primary School,-33.411002,149.559746,Comprehensive,Kinder to Year 6,Coed
126,1152,Batlow Technology School,90,Pioneer Street,Batlow,,2730,New South Wales,Australia,Central/Community School,-35.523007,148.146548,Comprehensive,Kinder to Year 12,Coed
127,8464,Baulkham Hills High School,9A,Christopher Street,Baulkham Hills,,2153,New South Wales,Australia,Secondary School,-33.750227,150.991499,Comprehensive,Year 7 to Year 12,Coed
128,4377,Baulkham Hills North Public School,2,Girralong Avenue,Baulkham Hills,,2153,New South Wales,Australia,Primary School,-33.751927,150.999957,Comprehensive,Kinder to Year 6,Coed
129,3971,Beacon Hill Public School,6,Tristram Road,Beacon Hill,,2100,New South Wales,Australia,Primary School,-33.751630,151.260584,Comprehensive,Kinder to Year 6,Coed
130,4630,Beaumont Hills Public School,NULL,NULL,Beaumont Hills,,2155,New South Wales,Australia,Primary School,-33.697809,150.945659,Comprehensive,Kinder to Year 6,Coed
131,3956,Beaumont Road Public School,26,Lady Game Drive,Killara,,2071,New South Wales,Australia,Primary School,-33.774289,151.146271,Comprehensive,Kinder to Year 6,Coed
132,5212,Beauty Point Public School,NULL,NULL,Mosman,,2088,New South Wales,Australia,Primary School,-33.812008,151.241883,Comprehensive,Kinder to Year 6,Coed
133,1160,Beckom Public School,8,Ariah Street,Beckom,,2665,New South Wales,Australia,Primary School,-34.327211,146.962928,Comprehensive,Kinder to Year 6,Coed
134,1164,Bedgerebong Public School,3304,Bedgerabong Road,Bedgerabong,,2871,New South Wales,Australia,Primary School,-33.361353,147.679318,Comprehensive,Kinder to Year 6,Coed
135,1165,Beechwood Public School,614,Beechwood Road,Beechwood,,2446,New South Wales,Australia,Primary School,-31.435535,152.680940,Comprehensive,Kinder to Year 6,Coed
136,1166,Beecroft Public School,90-98,Beecroft Road,Beecroft,,2119,New South Wales,Australia,Primary School,-33.752085,151.064620,Comprehensive,Kinder to Year 6,Coed
137,1167,Beelbangera Public School,765,Rankins Springs Road,Beelbangera,,2680,New South Wales,Australia,Primary School,-34.252836,146.101067,Comprehensive,Kinder to Year 6,Coed
138,8165,Bega High School,183,Auckland Street,Bega,,2550,New South Wales,Australia,Secondary School,-36.678459,149.838766,Comprehensive,Year 7 to Year 12,Coed
139,1168,Bega Valley Public School,NULL,NULL,Bega,,2550,New South Wales,Australia,Primary School,-36.670545,149.839095,Comprehensive,Kinder to Year 6,Coed
140,4370,Belair Public School,NULL,NULL,Adamstown Heights,,2289,New South Wales,Australia,Primary School,-32.946197,151.711766,Comprehensive,Kinder to Year 6,Coed
141,3979,Bellambi Public School,74,Cawley Street,Bellambi,,2518,New South Wales,Australia,Primary School,-34.371201,150.914404,Comprehensive,Kinder to Year 6,Coed
142,1175,Bellata Public School,21,Gurley Street,Bellata,,2397,New South Wales,Australia,Primary School,-29.918659,149.796216,Comprehensive,Kinder to Year 6,Coed
143,1177,Bellbird Public School,NULL,NULL,Bellbird,,2325,New South Wales,Australia,Primary School,-32.859421,151.316705,Comprehensive,Kinder to Year 6,Coed
144,1178,Bellbrook Public School,32-40,Main Street,Bellbrook,,2440,New South Wales,Australia,Primary School,-30.819094,152.508698,Comprehensive,Kinder to Year 6,Coed
145,1179,Bellevue Hill Public School,NULL,NULL,Bellevue Hill,,2023,New South Wales,Australia,Primary School,-33.886986,151.259785,Comprehensive,Kinder to Year 6,Coed
146,8258,Bellingen High School,1125,Waterfall Way,Bellingen,,2454,New South Wales,Australia,Secondary School,-30.455123,152.908442,Comprehensive,Year 7 to Year 12,Coed
147,1181,Bellingen Public School,32,William Street,Bellingen,,2454,New South Wales,Australia,Primary School,-30.453490,152.891887,Comprehensive,Kinder to Year 6,Coed
148,1182,Belltrees Public School,NULL,NULL,Belltrees,,2337,New South Wales,Australia,Primary School,-31.988753,151.129487,Comprehensive,Kinder to Year 6,Coed
149,8203,Belmont High School,424,Pacific Highway,Belmont,,2280,New South Wales,Australia,Secondary School,-33.027147,151.660114,Comprehensive,Year 7 to Year 12,Coed
150,3927,Belmont North Public School,8,Nikkin Street,Belmont North,,2280,New South Wales,Australia,Primary School,-33.019974,151.671344,Comprehensive,Kinder to Year 6,Coed
151,1183,Belmont Public School,4,Livingstone Street,Belmont,,2280,New South Wales,Australia,Primary School,-33.030134,151.662203,Comprehensive,Kinder to Year 6,Coed
152,8804,Belmore Boys High School,193,Burwood Road,Belmore,,2192,New South Wales,Australia,Secondary School,-33.910796,151.085575,Comprehensive,Year 7 to Year 12,Boys
153,1185,Belmore North Public School,172C,Burwood Road,Belmore,,2192,New South Wales,Australia,Primary School,-33.909885,151.084885,Comprehensive,Kinder to Year 6,Coed
154,1186,Belmore South Public School,20,Victory Street,Belmore,,2192,New South Wales,Australia,Primary School,-33.925735,151.091985,Comprehensive,Kinder to Year 6,Coed
155,3748,Belrose Public School,26,Ralston Avenue,Belrose,,2085,New South Wales,Australia,Primary School,-33.727235,151.216645,Comprehensive,Kinder to Year 6,Coed
156,1189,Bemboka Public School,35-45,Kameruka Street,Bemboka,,2550,New South Wales,Australia,Primary School,-36.631309,149.571075,Comprehensive,Kinder to Year 6,Coed
157,1196,Ben Lomond Public School,566,Inn Road,Ben Lomond,,2365,New South Wales,Australia,Primary School,-30.017024,151.661287,Comprehensive,Kinder to Year 6,Coed
158,1198,Ben Venue Public School,92,Erskine Street,Armidale,,2350,New South Wales,Australia,Primary School,-30.502884,151.674620,Comprehensive,Kinder to Year 6,Coed
159,1191,Bendemeer Public School,17-27,Charles Street,Bendemeer,,2355,New South Wales,Australia,Primary School,-30.886984,151.150991,Comprehensive,Kinder to Year 6,Coed
160,4285,Bennett Road Public School,100-114,Bennett Road,Colyton,,2760,New South Wales,Australia,Primary School,-33.783499,150.792462,Comprehensive,Kinder to Year 6,Coed
161,1199,Berala Public School,216,Harrow Road,Berala,,2141,New South Wales,Australia,Primary School,-33.869714,151.028244,Comprehensive,Kinder to Year 6,Coed
162,1201,Beresfield Public School,55,Ruskin Street,Beresfield,,2322,New South Wales,Australia,Primary School,-32.803964,151.654863,Comprehensive,Kinder to Year 6,Coed
163,4405,Beresford Road Public School,74,Beresford Road,Greystanes,,2145,New South Wales,Australia,Primary School,-33.814864,150.942945,Comprehensive,Kinder to Year 6,Coed
164,4450,Berinba Public School,22,Petit Street,Yass,,2582,New South Wales,Australia,Primary School,-34.849095,148.918959,Comprehensive,Kinder to Year 6,Coed
165,1202,Berkeley Public School,358,Flagstaff Road,Berkeley,,2506,New South Wales,Australia,Primary School,-34.480214,150.856493,Comprehensive,Kinder to Year 6,Coed
166,1203,Berkeley Vale Public School,6,Pindarri Avenue,Berkeley Vale,,2261,New South Wales,Australia,Primary School,-33.350515,151.435888,Comprehensive,Kinder to Year 6,Coed
167,4180,Berkeley West Public School,NULL,NULL,Berkeley,,2506,New South Wales,Australia,Primary School,-34.475497,150.841000,Comprehensive,Kinder to Year 6,Coed
168,1204,Bermagui Public School,NULL,NULL,Bermagui,,2546,New South Wales,Australia,Primary School,-36.420776,150.063625,Comprehensive,Kinder to Year 6,Coed
169,1205,Berowra Public School,9,High Street,Berowra,,2081,New South Wales,Australia,Primary School,-33.618522,151.148996,Comprehensive,Kinder to Year 6,Coed
170,1206,Berridale Public School,22,Mary Street,Berridale,,2628,New South Wales,Australia,Primary School,-36.371444,148.827209,Comprehensive,Kinder to Year 6,Coed
171,1207,Berrigan Public School,25-29,Momalong Street,Berrigan,,2712,New South Wales,Australia,Primary School,-35.659667,145.815664,Comprehensive,Kinder to Year 6,Coed
