SchoolId,SchoolCode,SchoolName,StreetNumber,StreetName,Suburb,District,PostCode,State,Country,LevelOfSchooling,Latitude,Longitude,SchoolSpecialtyType,SchoolSubType,SchoolGender
677,1840,Empire Vale Public School,632,River Drive,Empire Vale,,2478,New South Wales,Australia,Primary School,-28.915114,153.506059,Comprehensive,Kinder to Year 6,Coed
678,4442,Emu Heights Public School,26,Parkwood Grove,Emu Heights,,2750,New South Wales,Australia,Primary School,-33.736652,150.648818,Comprehensive,Kinder to Year 6,Coed
679,1841,Emu Plains Public School,43,Gwandalan Street,Emu Plains,,2750,New South Wales,Australia,Primary School,-33.755617,150.657739,Comprehensive,Kinder to Year 6,Coed
680,8404,Endeavour Sports High School,14,Kumulla Road,Miranda,,2228,New South Wales,Australia,Secondary School,-34.030083,151.117251,Sports,Year 7 to Year 12,Coed
681,1844,Enfield Public School,2,Plymouth Street,Enfield,,2136,New South Wales,Australia,Primary School,-33.888598,151.094528,Comprehensive,Kinder to Year 6,Coed
682,8432,Engadine High School,2,Porter Road,Engadine,,2233,New South Wales,Australia,Secondary School,-34.062141,151.019341,Comprehensive,Year 7 to Year 12,Coed
683,1845,Engadine Public School,1A,Waratah Road,Engadine,,2233,New South Wales,Australia,Primary School,-34.063350,151.012431,Comprehensive,Kinder to Year 6,Coed
684,4292,Engadine West Public School,172,Ridge Road,Engadine,,2233,New South Wales,Australia,Primary School,-34.059519,151.002566,Comprehensive,Kinder to Year 6,Coed
685,3626,Enngonia Public School,NULL,Paroo Street,Enngonia,,2839,New South Wales,Australia,Primary School,-29.318855,145.844482,Comprehensive,Kinder to Year 6,Coed
686,8884,Epping Boys High School,213,Vimiera Road,Marsfield,,2122,New South Wales,Australia,Secondary School,-33.769453,151.099645,Comprehensive,Year 7 to Year 12,Boys
687,4038,Epping Heights Public School,128,Kent Street,Epping,,2121,New South Wales,Australia,Primary School,-33.762695,151.074080,Comprehensive,Kinder to Year 6,Coed
688,4165,Epping North Public School,10,Jacobs Close,North Epping,,2121,New South Wales,Australia,Primary School,-33.757643,151.095425,Comprehensive,Kinder to Year 6,Coed
689,1850,Epping Public School,29,Epping Road,Epping,,2121,New South Wales,Australia,Primary School,-33.770727,151.087878,Comprehensive,Kinder to Year 6,Coed
690,1851,Epping West Public School,104,Carlingford Road,Epping,,2121,New South Wales,Australia,Primary School,-33.772789,151.068048,Comprehensive,Kinder to Year 6,Coed
691,1856,Erina Heights Public School,2,Serpentine Road,Erina Heights,,2260,New South Wales,Australia,Primary School,-33.428028,151.413585,Comprehensive,Kinder to Year 6,Coed
692,8405,Erina High School,152,The Entrance Road,Erina,,2250,New South Wales,Australia,Secondary School,-33.440279,151.381503,Comprehensive,Year 7 to Year 12,Coed
693,1860,Ermington Public School,14,Winbourne Street,West Ryde,,2114,New South Wales,Australia,Primary School,-33.804749,151.071574,Comprehensive,Kinder to Year 6,Coed
694,4125,Ermington West Public School,8,Vignes Street,Ermington,,2115,New South Wales,Australia,Primary School,-33.805894,151.058368,Comprehensive,Kinder to Year 6,Coed
695,8590,Erskine Park High School,NULL,NULL,Erskine Park,,2759,New South Wales,Australia,Secondary School,-33.807899,150.802962,Comprehensive,Year 7 to Year 12,Coed
696,4147,Erskineville Public School,20,Malcolm Street,Erskineville,,2043,New South Wales,Australia,Primary School,-33.900881,151.186112,Comprehensive,Kinder to Year 6,Coed
697,4558,Eschol Park Public School,45A,Eschol Park Drive,Eschol Park,,2558,New South Wales,Australia,Primary School,-34.028340,150.810838,Comprehensive,Kinder to Year 6,Coed
698,1864,Ettalong Public School,NULL,NULL,Ettalong Beach,,2257,New South Wales,Australia,Primary School,-33.513539,151.332702,Comprehensive,Kinder to Year 6,Coed
699,1867,Euabalong West Public School,16,Uabba Street,Euabalong,,2877,New South Wales,Australia,Primary School,-33.055830,146.397128,Comprehensive,Kinder to Year 6,Coed
700,1869,Euchareena Public School,6,Walter Street,Euchareena,,2866,New South Wales,Australia,Primary School,-32.937204,149.091542,Comprehensive,Kinder to Year 6,Coed
701,1870,Eugowra Public School,3,Hill Street,Eugowra,,2806,New South Wales,Australia,Primary School,-33.423082,148.369286,Comprehensive,Kinder to Year 6,Coed
702,1873,Eumungerie Public School,11,Moonul Street,Eumungerie,,2831,New South Wales,Australia,Primary School,-31.951152,148.621075,Comprehensive,Kinder to Year 6,Coed
703,1874,Eungai Public School,78,Main Street,Eungai Creek,,2441,New South Wales,Australia,Primary School,-30.832071,152.874284,Comprehensive,Kinder to Year 6,Coed
704,1879,Eureka Public School,432,Eureka Road,Eureka,,2480,New South Wales,Australia,Primary School,-28.687657,153.439223,Comprehensive,Kinder to Year 6,Coed
705,1883,Eurongilly Public School,1362,Eurongilly Road,Eurongilly,,2663,New South Wales,Australia,Primary School,-34.910170,147.780957,Comprehensive,Kinder to Year 6,Coed
706,1885,Euston Public School,NULL,NULL,Euston,,2737,New South Wales,Australia,Primary School,-34.575588,142.744248,Comprehensive,Kinder to Year 6,Coed
707,8420,Evans High School,166,Walters Road,Blacktown,,2148,New South Wales,Australia,Secondary School,-33.786512,150.889725,Comprehensive,Year 7 to Year 12,Coed
708,1886,Evans River Community School,60,Cypress Street,Evans Head,,2473,New South Wales,Australia,Central/Community School,-29.113492,153.424683,Comprehensive,Kinder to Year 12,Coed
709,1890,Excelsior Public School,80,Excelsior Avenue,Castle Hill,,2154,New South Wales,Australia,Primary School,-33.740444,150.990408,Comprehensive,Kinder to Year 6,Coed
710,1891,Exeter Public School,41,School Lane,Exeter,,2579,New South Wales,Australia,Primary School,-34.616120,150.321828,Comprehensive,Kinder to Year 6,Coed
711,1894,Fairfax Public School,2227,Harparary Road,Maules Creek,,2382,New South Wales,Australia,Primary School,-30.493351,150.131265,Comprehensive,Kinder to Year 6,Coed
712,3632,Fairfield Heights Public School,124,Camden Street,Fairfield Heights,,2165,New South Wales,Australia,Primary School,-33.866094,150.940272,Comprehensive,Kinder to Year 6,Coed
713,8550,Fairfield High School,405,The Horsley Drive,Fairfield,,2165,New South Wales,Australia,Secondary School,-33.865214,150.958647,Comprehensive,Year 7 to Year 12,Coed
714,1895,Fairfield Public School,NULL,NULL,Fairfield,,2165,New South Wales,Australia,Primary School,-33.866847,150.955409,Comprehensive,Kinder to Year 6,Coed
715,1896,Fairfield West Public School,1,Palmerston Road,Fairfield West,,2165,New South Wales,Australia,Primary School,-33.868037,150.924762,Comprehensive,Kinder to Year 6,Coed
716,8456,Fairvale High School,1,Thorney Road,Fairfield West,,2165,New South Wales,Australia,Secondary School,-33.873614,150.929459,Comprehensive,Year 7 to Year 12,Coed
717,4009,Fairvale Public School,91,Cathcart Street,Fairfield,,2165,New South Wales,Australia,Primary School,-33.876939,150.940718,Comprehensive,Kinder to Year 6,Coed
718,1898,Fairy Meadow Public School,NULL,NULL,Fairy Meadow,,2519,New South Wales,Australia,Primary School,-34.390469,150.892302,Comprehensive,Kinder to Year 6,Coed
719,1901,Falls Creek Public School,26,Vidler Road,Falls Creek,,2540,New South Wales,Australia,Primary School,-34.965439,150.593403,Comprehensive,Kinder to Year 6,Coed
720,3976,Farmborough Road Public School,56,Farmborough Road,Unanderra,,2526,New South Wales,Australia,Primary School,-34.460322,150.834818,Comprehensive,Kinder to Year 6,Coed
721,8111,Farrer Memorial Agricultural High School,NULL,Unnamed Road,Calala,,2340,New South Wales,Australia,Secondary School,-31.138453,150.979996,Agricultural,Year 7 to Year 12,Boys
722,1904,Fassifern Public School,9,Miller Road,Fassifern,,2283,New South Wales,Australia,Primary School,-32.983398,151.582769,Comprehensive,Kinder to Year 6,Coed
723,4354,Faulconbridge Public School,43,Meeks Crescent,Faulconbridge,,2776,New South Wales,Australia,Primary School,-33.691022,150.544693,Comprehensive,Kinder to Year 6,Coed
724,4208,Fennell Bay Public School,2,Hely Avenue,Fennell Bay,,2283,New South Wales,Australia,Primary School,-32.991749,151.601866,Comprehensive,Kinder to Year 6,Coed
725,3996,Fern Bay Public School,NULL,NULL,Fern Bay,,2295,New South Wales,Australia,Primary School,-32.871657,151.794739,Comprehensive,Kinder to Year 6,Coed
726,5114,Ferncourt Public School,53,Thornley Street,Marrickville,,2204,New South Wales,Australia,Primary School,-33.921393,151.151497,Comprehensive,Kinder to Year 6,Coed
727,5768,Fernhill School,25,Ridgetop Drive,Glenmore Park,,2745,New South Wales,Australia,Schools for Specific Purposes,-33.796286,150.676955,Comprehensive,Medium / High Support needs,Coed
728,2214,Fernleigh Public School,451,Fernleigh Road,Fernleigh,,2479,New South Wales,Australia,Primary School,-28.767650,153.498399,Comprehensive,Kinder to Year 6,Coed
729,5428,Field of Mars Environmental Education Centre,85A,Westminster Road,Gladesville,,2111,New South Wales,Australia,Environmental Education Centre,-33.816092,151.132849,Comprehensive,Environmental Education Centre (formerly Field Stu,Coed
730,4462,Figtree Heights Public School,22,Stillness Road,Figtree,,2525,New South Wales,Australia,Primary School,-34.431526,150.855504,Comprehensive,Kinder to Year 6,Coed
731,8449,Figtree High School,NULL,NULL,Figtree,,2525,New South Wales,Australia,Secondary School,-34.438352,150.855197,Comprehensive,Year 7 to Year 12,Coed
732,3964,Figtree Public School,130,Princes Highway,Figtree,,2525,New South Wales,Australia,Primary School,-34.440841,150.854443,Comprehensive,Kinder to Year 6,Coed
733,1915,Fingal Head Public School,100,Letitia Road,Fingal Head,,2487,New South Wales,Australia,Primary School,-28.196814,153.565122,Comprehensive,Kinder to Year 6,Coed
734,8360,Finley High School,52,Tocumwal Street,Finley,,2713,New South Wales,Australia,Secondary School,-35.640413,145.571271,Comprehensive,Year 7 to Year 12,Coed
735,3945,Finley Public School,21,Coree Street,Finley,,2713,New South Wales,Australia,Primary School,-35.639399,145.574959,Comprehensive,Kinder to Year 6,Coed
736,5405,Fisher Road School,23,Lismore Avenue,Dee Why,,2099,New South Wales,Australia,Schools for Specific Purposes,-33.746131,151.287466,Comprehensive,Medium / High Support needs,Coed
737,1920,Five Dock Public School,11,Lancelot Street,Five Dock,,2046,New South Wales,Australia,Primary School,-33.866859,151.127318,Comprehensive,Kinder to Year 6,Coed
